Altium Designer Pick and Place Locations
C:\Users\Kryptica\Documents\SAMBA\Samba_2\Samba2_Remote\Release Documents\Pick and Place\Pick Place for Remote Rev B3(Samba2_Remote B3 Manuf).csv

========================================================================================================================
File Design Information:

Date:       13-10-24
Time:       22:09
Revision:   Not in VersionControl
Variant:    Samba2_Remote B3 Manuf
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R32","RC0603FR-0710KL","TopLayer","MANUF_RES_0603","43.4359mm","50.7816mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R31","CRCW06033K60FKEAC","TopLayer","RESC1609X50X30NL08T20","22.5109mm","26.3816mm","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 3600ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R29","Resistor 1k +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","40.6609mm","32.6566mm","180","Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R28","RC0805JR-075K1L","BottomLayer","0805","25.7359mm","10.5566mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.125W, 5100ohm, 150V, 5% +/-Tol, 100ppm/Cel, Surface Mount, 0805"
"R26","RC0603FR-0710KL","TopLayer","MANUF_RES_0603","12.0859mm","24.4566mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 10000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R25","CRCW08051R00FKEAHP","TopLayer","Vishay_CRCW0805-HPe3_MFG","19.2109mm","18.4816mm","0","Fixed Resistor, Metal Glaze/thick Film, 0.5W, 1ohm, 150V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0805"
"R24","ERJ-3EKF1653V","TopLayer","RESC1608X55X30NL15T15","8.0859mm","27.5066mm","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 165000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R15","ERJ-3EKF2001V","TopLayer","MANUF_RES_0603","60.2020mm","15.8760mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R14","ERJ-3EKF2001V","TopLayer","MANUF_RES_0603","66.3359mm","15.4816mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R13","AC0603FR-0775KL","TopLayer","IPC_B_0603_RES","70.7859mm","14.5316mm","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 75000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R12","CRCW06033K60FKEAC","TopLayer","RESC1609X50X30NL08T20","64.3859mm","15.5066mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 3600ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R7","CRCW08051R00FKEAHP","TopLayer","Vishay_CRCW0805-HPe3_MFG","58.9109mm","23.0816mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.5W, 1ohm, 150V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0805"
"R6","ERJ-3EKF1653V","TopLayer","RESC1608X55X30NL15T15","72.7359mm","23.8066mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 165000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R4","ERJ-3EKF2001V","TopLayer","MANUF_RES_0603","70.6359mm","27.6799mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"Q3","FMMT493TA","TopLayer","SOT95P237X110-3N","6.0359mm","33.0316mm","90","Small Signal Bipolar Transistor, 1A I(C), 100V V(BR)CEO, 1-Element, NPN, Silicon"
"L1","CC322522A-2R2K","TopLayer","INDC3225X06N","25.5109mm","10.9816mm","90","General Purpose Inductor, 2.2uH, 10%, 1 Element, Ferrite-Core, SMD, 1110"
"D1","LM4040C41IDBZR","TopLayer","DBZ0003A_M","42.3609mm","29.5566mm","90","Two Terminal Voltage Reference, 1 Output, 4.096V, BIPolar, PDSO3"
"C23","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","19.8359mm","12.3816mm","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C22","CL10B105KA8NFNC","TopLayer","MANUF_CAP_0603","17.7334mm","12.3316mm","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"
"C21","GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","21.9770mm","12.3760mm","90","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C20","CL21B106KOQNNNE","BottomLayer","FP-CL21B106KOQNNNE-IPC_A","13.7109mm","27.6553mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 10uF, Surface Mount, 0805"
"C19","CL21B106KOQNNNE","BottomLayer","FP-CL21B106KOQNNNE-IPC_A","23.6609mm","26.2066mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 10uF, Surface Mount, 0805"
"C18","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","32.0359mm","11.9316mm","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C17","CL10B105KA8NFNC","TopLayer","MANUF_CAP_0603","34.0513mm","11.9531mm","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"
"C8","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","8.5859mm","23.3816mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C7","GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","22.6359mm","24.8066mm","0","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"C6","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","40.2859mm","47.7066mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C5","CL10B105KA8NFNC","TopLayer","MANUF_CAP_0603","5.1359mm","26.6316mm","270","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"
"C4","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","64.3609mm","27.5816mm","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C3","GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","62.7359mm","15.4816mm","270","Ceramic Capacitor, Multilayer, Ceramic, 10V, 20% +Tol, 20% -Tol, X5R, 15% TC, 10uF, Surface Mount, 0603"
"U2","SHT41A-AD1B-R3","BottomLayer","SHT41A-AD1B-R3-Footprint-1","9.8619mm","15.5829mm","180","Board Mount Humidity Sensors 4th Gen Humidity and Temperature Sensor"
"C2","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","12.3609mm","11.4816mm","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"R9","NTCG103NH471JT1","BottomLayer","NTCG103NH471JT1-Footprint-1","76.6859mm","73.6066mm","90","NTC Thermistor, 470ohm, Surface Mount"
"R36","AC0603FR-0775KL","TopLayer","IPC_B_0603_RES","14.0609mm","32.9316mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 75000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R22","ERJ-3EKF2001V","TopLayer","MANUF_RES_0603","7.1859mm","29.9316mm","0","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R19","ERJ-3EKF2001V","TopLayer","MANUF_RES_0603","7.9898mm","25.7505mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R16","AC0603FR-0775KL","TopLayer","IPC_B_0603_RES","70.6859mm","16.6816mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 75000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R1","ERJ-3EKF2001V","TopLayer","MANUF_RES_0603","69.4109mm","20.2816mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 2000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"D6","ESD9B5.0ST5G","BottomLayer","ONSC-SOD-923-2-514AB-01_V","50.0270mm","13.3760mm","0","Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"D5","ESD9B5.0ST5G","BottomLayer","ONSC-SOD-923-2-514AB-01_V","40.5359mm","15.8066mm","270","Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"D3","ESD9B5.0ST5G","BottomLayer","ONSC-SOD-923-2-514AB-01_V","52.6359mm","10.8816mm","90","Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"D2","ESD9B5.0ST5G","BottomLayer","ONSC-SOD-923-2-514AB-01_V","54.1020mm","12.9760mm","0","Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"C10","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","18.5359mm","14.2066mm","0","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C9","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","22.6109mm","14.6066mm","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C14","CC0603KRX7R7BB104","TopLayer","MANUF_CAP_0603","59.9399mm","12.1586mm","0","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"R30","TT7-10KC3-11","BottomLayer","TT7-10KC3-11-Footprint-1","42.0609mm","55.6769mm","180","Lead Frame Ntc 10K 1 Ohm B TT7 3977K"
"R27","NTCG103NH471JT1","TopLayer","NTCG103NH471JT1-Footprint-1","2.7020mm","73.7510mm","90","NTC Thermistor, 470ohm, Surface Mount"
"J1","09455511103","BottomLayer","09455511103-Footprint-1","42.0079mm","8.2081mm","180","Telecom and Datacom Connector, 8 Contact(s), Female, Straight, Solder Terminal, Locking, Jack"
"C16","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","65.1609mm","23.3316mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C15","CC0603KRX7R7BB104","BottomLayer","MANUF_CAP_0603","71.3609mm","23.3316mm","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
