# version: 1.99.99
# building: Home
# level: Ground
# zone: Living
time,ta,tg,rh,as,mrt,co2,lux,pm25,tvoc,nox,laeq,la90,la10
2026-09-10 04:15:00,23.41,23.88,51.2,0.083,24.12,602,184,3.2,105,1,38.4,33.1,42.7
2026-09-10 04:20:00,23.61,24.10,51.3,0.083,24.33,584,206,3.4,105,1,38.8,33.4,43.1
2026-09-10 04:25:00,23.76,24.32,51.2,0.068,24.59,567,203,3.0,108,1,39.1,33.8,43.3
2026-09-10 04:30:00,23.84,24.37,51.2,0.076,24.64,552,192,3.2,106,1,38.7,33.5,42.9
2026-09-10 04:35:00,23.97,24.54,51.2,0.065,24.85,537,195,2.7,108,1,38.4,33.4,42.7
2026-09-10 04:40:00,24.03,24.61,51.0,0.065,24.92,523,198,3.4,107,1,38.3,33.2,42.6
2026-09-10 04:45:00,24.09,24.71,50.9,0.064,25.04,514,210,3.3,104,1,37.1,32.0,41.6
2026-09-10 04:50:00,24.15,24.78,51.3,0.059,25.14,501,207,3.0,103,1,37.0,31.8,41.5
2026-09-10 04:55:00,24.22,24.84,51.1,0.064,25.19,490,207,2.6,100,1,36.1,30.6,40.6
2026-09-10 05:00:00,24.30,24.95,51.1,0.054,25.33,485,220,3.4,102,1,36.8,31.6,41.6
2026-09-10 05:05:00,24.27,24.91,51.2,0.056,25.30,483,194,3.6,104,1,38.0,32.7,42.8
2026-09-10 05:10:00,24.35,25.03,50.9,0.058,25.45,486,178,3.4,106,1,36.0,30.7,40.8
2026-09-10 05:15:00,24.33,24.99,50.9,0.046,25.36,476,202,3.1,109,1,37.4,32.1,41.9
2026-09-10 05:20:00,24.37,25.05,51.1,0.046,25.44,475,162,3.3,109,1,37.7,32.5,42.3
2026-09-10 05:25:00,24.35,25.03,50.9,0.042,25.41,472,176,2.9,110,1,37.2,31.8,41.7
2026-09-10 05:30:00,24.38,25.06,51.1,0.052,25.46,469,162,3.4,109,1,37.2,32.0,41.7
2026-09-10 05:35:00,24.43,25.14,51.3,0.051,25.54,472,132,2.9,110,1,36.2,31.0,40.9
2026-09-10 05:40:00,24.39,25.06,51.0,0.041,25.47,475,161,3.7,107,1,35.9,30.6,40.4
2026-09-10 05:45:00,24.45,25.16,50.9,0.042,25.60,474,158,3.5,107,1,37.7,32.2,42.0
2026-09-10 05:50:00,24.43,25.09,51.2,0.053,25.48,472,118,3.3,104,1,37.5,32.4,41.8
2026-09-10 05:55:00,24.44,25.13,51.1,0.045,25.55,468,147,3.4,102,1,36.8,31.6,41.7
2026-09-10 06:00:00,24.38,24.84,51.3,0.074,25.12,494,119,2.7,100,1,42.1,36.5,46.8
2026-09-10 06:05:00,24.40,24.88,51.3,0.074,25.15,511,107,3.7,98,1,40.0,34.4,44.6
2026-09-10 06:10:00,24.38,24.80,51.3,0.069,25.06,533,95,2.7,97,1,40.8,35.6,45.4
2026-09-10 06:15:00,24.40,24.87,51.0,0.082,25.16,552,124,3.0,98,1,40.1,34.9,44.4
2026-09-10 06:20:00,24.34,24.80,51.1,0.072,25.08,576,119,3.3,97,1,41.3,35.9,45.6
2026-09-10 06:25:00,24.33,24.79,51.3,0.069,25.07,592,89,2.8,98,1,40.7,35.6,45.1
2026-09-10 06:30:00,24.37,24.82,51.0,0.080,25.06,612,110,3.4,98,1,40.7,35.4,45.6
2026-09-10 06:35:00,24.30,24.73,51.1,0.081,24.98,622,89,3.0,99,1,41.1,35.5,45.4
2026-09-10 06:40:00,24.28,24.70,51.3,0.083,24.93,633,77,3.4,96,1,41.3,36.2,45.9
2026-09-10 06:45:00,24.26,24.70,51.2,0.073,24.94,646,87,3.0,97,1,40.0,34.4,44.4
2026-09-10 06:50:00,24.28,24.70,51.1,0.076,24.94,651,83,3.5,95,1,41.8,36.4,46.4
2026-09-10 06:55:00,24.28,24.73,51.3,0.079,25.00,662,72,2.8,97,1,40.5,35.3,45.1
2026-09-10 07:00:00,24.27,24.71,51.4,0.069,24.96,676,74,2.5,96,1,41.3,35.8,46.1
2026-09-10 07:05:00,24.25,24.71,51.2,0.078,24.97,683,63,2.9,96,1,40.3,34.9,45.0
2026-09-10 07:10:00,24.20,24.68,51.3,0.070,24.98,688,45,3.1,99,1,41.4,36.3,46.0
2026-09-10 07:15:00,24.17,24.63,51.5,0.082,24.93,689,83,3.1,102,1,41.4,36.2,46.2
2026-09-10 07:20:00,24.17,24.60,51.2,0.073,24.85,693,74,3.0,104,1,41.5,35.9,46.3
2026-09-10 07:25:00,24.11,24.54,51.3,0.081,24.80,701,54,3.7,106,1,42.2,36.8,46.9
2026-09-10 07:30:00,24.13,24.59,51.2,0.078,24.86,712,104,2.7,103,1,40.2,34.7,44.6
2026-09-10 07:35:00,24.07,24.52,51.3,0.075,24.79,709,118,3.5,104,1,41.9,36.2,46.6
2026-09-10 07:40:00,24.05,24.52,51.3,0.080,24.80,708,128,2.6,104,1,40.7,35.1,45.0
2026-09-10 07:45:00,24.05,24.51,51.5,0.081,24.75,719,128,3.6,105,1,40.7,35.1,45.6
2026-09-10 07:50:00,24.01,24.47,51.5,0.072,24.76,722,118,3.1,103,1,40.5,35.3,45.4
2026-09-10 07:55:00,23.98,24.40,51.5,0.077,24.67,722,114,2.7,101,1,41.7,36.0,46.3
2026-09-10 08:00:00,23.97,24.39,51.4,0.083,24.63,730,117,2.6,99,1,40.4,34.7,45.1
2026-09-10 08:05:00,23.91,24.35,51.5,0.078,24.60,728,122,3.7,96,1,40.4,35.0,45.3
2026-09-10 08:10:00,23.88,24.35,51.5,0.076,24.64,733,112,3.1,98,1,41.0,35.7,45.5
2026-09-10 08:15:00,24.27,24.72,54.9,0.141,24.99,753,132,4.1,167,4,47.0,41.4,51.8
2026-09-10 08:20:00,24.19,24.64,55.1,0.138,24.93,769,128,4.6,216,4,47.4,42.0,52.3
2026-09-10 08:25:00,24.19,24.67,55.2,0.143,24.98,791,122,5.1,244,4,46.3,41.0,50.7
2026-09-10 08:30:00,24.15,24.58,55.1,0.136,24.86,813,124,7.4,263,4,47.2,42.0,51.9
2026-09-10 08:35:00,24.14,24.61,55.2,0.145,24.87,831,119,9.8,277,4,47.5,42.3,52.2
2026-09-10 08:40:00,24.12,24.59,55.1,0.146,24.90,845,109,14.3,288,4,45.9,40.4,50.5
2026-09-10 08:45:00,24.05,24.50,55.1,0.133,24.78,854,124,21.3,291,4,46.6,41.4,51.1
2026-09-10 08:50:00,24.05,24.51,55.4,0.145,24.80,871,117,22.3,295,4,46.3,40.9,50.6
2026-09-10 08:55:00,23.99,24.44,55.3,0.133,24.68,883,108,15.5,296,4,45.4,40.2,50.2
2026-09-10 09:00:00,23.98,24.44,55.1,0.139,24.74,891,125,10.5,297,4,46.2,40.8,50.7
2026-09-10 09:05:00,23.90,24.32,55.2,0.148,24.57,897,107,7.2,301,4,46.2,40.8,50.7
2026-09-10 09:10:00,23.86,24.29,55.4,0.135,24.52,908,114,6.3,302,4,45.7,40.5,50.4
2026-09-10 09:15:00,23.45,23.88,52.0,0.070,24.13,895,112,5.3,276,2,41.6,36.1,46.5
2026-09-10 09:20:00,23.37,23.83,52.0,0.081,24.11,886,126,4.4,253,2,41.2,35.6,45.9
2026-09-10 09:25:00,23.33,23.78,52.0,0.072,24.06,869,118,4.2,234,2,41.1,35.9,45.6
2026-09-10 09:30:00,23.36,23.81,52.0,0.070,24.11,863,113,3.2,218,2,40.6,35.0,45.4
2026-09-10 09:35:00,23.28,23.71,52.1,0.070,24.00,847,122,3.2,204,2,40.3,35.1,44.9
2026-09-10 09:40:00,23.27,23.70,51.8,0.082,23.93,833,120,2.7,193,2,41.1,35.7,46.0
2026-09-10 09:45:00,23.22,23.65,52.1,0.080,23.93,824,105,3.8,183,1,40.1,34.8,45.0
2026-09-10 09:50:00,23.17,23.65,52.0,0.076,23.96,811,128,2.8,175,1,41.5,35.9,45.9
2026-09-10 09:55:00,23.13,23.60,52.1,0.072,23.86,808,128,3.6,167,1,39.8,34.2,44.2
2026-09-10 10:00:00,23.07,23.54,52.1,0.079,23.84,801,110,3.3,156,1,41.2,35.6,45.9
2026-09-10 10:05:00,23.01,23.44,52.2,0.077,23.73,796,117,2.9,152,1,42.1,36.7,46.8
2026-09-10 10:10:00,22.99,23.47,52.2,0.068,23.73,791,107,3.6,145,1,41.1,36.0,45.8
